Article_ID,Country_Region
1,Schwann
1,Kif4a
2,n/2
3,Portugal
3,F1
7,AI
10,Unity
12,F1
22,Brazil
22,Spain
22,Italy
22,Portugal
22,AI
25,Guadeloupe
25,Portugal
25,Senegal
26,Portugal
33,Portugal
33,Spain
41,Hg
41,South Georgia
43,AP4E1
50,Denmark
53,Guadeloupe
53,Senegal
53,Portugal
56,L1
57,Gibbs
58,Portugal
58,Florida
58,Melbourne Beach
58,Juno Beach
58,Ft. Lauderdale
61,preeclampsia
65,Tratado
66,Platalea
66,Ria Formosa
68,hPa
69,AI
74,Ruditapes
74,EF
79,the Mantiqueira Province
79,Cabo Frio
79,LA
79,"between---9,7 and-5,0"
79,Ga.
79,Lagos
79,Lagos Region
79,Congo
85,UC
90,Portugal
90,Germany
90,AI
92,Rio de Janeiro State
92,Brazil
92,SB
95,Germany
99,Portugal
100,Candida
100,Cryptococcus
100,Portugal
101,macroalgae
101,Pelvetia
103,Fermi
104,ER
104,HER2
107,LiYF
109,Portugal
109,Santa Joana
109,Caramullan
109,Vouzela
110,mL−1
111,Portugal
117,Zn
117,PP
120,group#2
131,Portugal
131,Saprolegnia
131,UE
131,Aeromonas
133,Gansu Province
133,China
135,PP
144,myositis
144,anaesthesia
150,Portugal
150,Spain
150,EF
151,Finaly
153,NE
154,Santos
155,Brazil
155,GB
155,the Little Ice Age
162,Brazil
163,Orbiniidae
163,Microrbinia
170,HeLa
174,Portugal
176,Matilde
178,Portugal
178,Trevarthen
183,Ni-NPs
183,Mytilus spp
183,Mytilus
184,Portugal
185,Portugal
185,Angola
190,Dratopi
192,Pirkle
192,MD
197,Brazil
197,SB
197,Zn
197,Hg
200,ES
202,Brazil
202,Zn
204,CERRA
206,KI
207,Fogo
208,Lisbon
208,Portugal
208,bioburden
210,Portugal
211,Portugal
212,Ni
212,Zn
214,Brazil
214,Canada
214,Portugal
215,Kaggle
215,Pakistan
217,Neogloboquadrina
219,Anisakis
220,Ruditapes
222,LILACS
223,Portugal
226,Portugal
227,Portugal
228,SjD
235,Faraday
238,Portugal
239,GRMHD
242,Australia
242,South Africa
243,AI
248,N. shiloi
250,parthenogenetica
252,myositis
255,Brazil
255,Vitória-Trindade Ridge
256,Cu
257,Multimedia
262,IrO
272,United States
272,US
272,GM_CS
274,Thrichomys
275,Portugal
275,NE
276,Mellin
277,Portugal
277,PUBMED
278,Python
281,SIMION
282,AI
283,Lisbon
286,Ind.
288,Cyanobacteria
288,cyanobacteria
288,Portugal
289,Estrela
290,Lisbon
290,Portugal
291,Artemia
292,Portugal
295,NIR
295,EB
299,Cardiology
300,Yttria
301,Pakistan
301,Lahore
301,Gujranwala
304,macroalgal
305,Platalea
305,Portugal
305,colonies
306,HF
306,Duval
309,DDoS
310,Portugal
310,NOS2030
310,NOS2023
311,AI
311,Canada
311,the United States
311,China
312,Portugal
313,Luanda
313,Angola
314,GB
314,Rio de Janeiro State
314,Brazil
319,Portugal
322,Zn
322,ZnO
322,ZnO_Ph
324,RT
327,Crato - CE
327,the Public Use Zone
327,Sítio Pinheiros
327,Barbalha
330,HER2
333,Cu
335,Portugal
335,Pejão
337,Luanda
337,Angola
337,Zn
337,Sb
337,Cd
339,BioTIME
341,France
343,White
345,Kazakh
348,Portugal
351,Brazil
351,Paraty Harbor
